					Sotomayor	Kagan	Breyer	Roberts	Kavanaugh	Barrett	Gorsuch	Alito	Thomas
Rivas-Villegas	2021-10-18	9	0	Per Curiam	1	1	1	1	1	1	1	1	1
City of Tahlequah	2021-10-18	9	0	Per Curiam	1	1	1	1	1	1	1	1	1
Mississippi v. Tennessee	2021-11-22	9	0	Roberts	1	1	1	1	1	1	1	1	1
Whole Woman’s Health	2021-12-10	8	1	Gorsuch	1	1	1	1	1	1	1	1	
U.S. v. Texas	2021-12-10	8	1	Per Curiam		1	1	1	1	1	1	1	1
Babcock	2022-01-13	8	1	Barrett	1	1	1	1	1	1		1	1
Biden v. Missouri	2022-01-13	5	4	Per Curiam	1	1	1	1	1				
NFIB v. Dept. of Labor	2022-01-13	6	3	Per Curiam				1	1	1	1	1	1
Hemphill	2022-01-20	8	1	Sotomayor	1	1	1	1	1	1	1	1	
Hughes	2022-01-24	8	0	Sotomayor	1	1	1	1	1	2	1	1	1
Unicolors	2022-02-24	6	3	Breyer	1	1	1	1	1	1			
Zubaydah	2022-03-03	7	2	Breyer		1	1	1	1	1		1	1
Cameron	2022-03-03	8	1	Alito		1	1	1	1	1	1	1	1
Tsarnaev	2022-03-04	6	3	Thomas				1	1	1	1	1	1
Fazaga	2022-03-04	9	0	Alito	1	1	1	1	1	1	1	1	1
Wooden	2022-03-07	9	0	Kagan	1	1	1	1	1	1	1	1	1
Wisconsin Legislature	2022-03-23	7	2	Per Curiam			1	1	1	1	1	1	1
Ramirez	2022-03-24	8	1	Roberts	1	1	1	1	1	1	1	1	
Wilson	2022-03-24	9	0	Gorsuch	1	1	1	1	1	1	1	1	1
Badgerow	2022-03-31	8	1	Kagan	1	1		1	1	1	1	1	1
Thompson	2022-04-04	6	3	Kavanaugh	1	1	1	1	1	1			
Austin	2022-04-21	6	3	Sotomayor	1	1	1	1	1			1	
Cassirer	2022-04-21	9	0	Kagan	1	1	1	1	1	1	1	1	1
Davenport	2022-04-21	6	3	Gorsuch				1	1	1	1	1	1
Vaello-Madero	2022-04-21	8	1	Kavanaugh		1	1	1	1	1	1	1	1
Boechler	2022-04-21	9	0	Barrett	1	1	1	1	1	1	1	1	1
Cummings	2022-04-28	6	3	Roberts				1	1	1	1	1	1
LeDure	2022-04-28	4	4	Per Curiam									
Shurtleff	2022-05-02	9	0	Breyer	1	1	1	1	1	1	1	1	1
Cruz	2022-05-16	6	3	Roberts				1	1	1	1	1	1
Patel	2022-05-16	5	4	Barrett				1	1	1		1	1
Shinn	2022-05-23	6	3	Thomas				1	1	1	1	1	1
Morgan	2022-05-23	9	0	Kagan	1	1	1	1	1	1	1	1	1
Gallardo	2022-06-06	7	2	Thomas		1		1	1	1	1	1	1
Southwest Airlines	2022-06-06	8	0	Thomas	1	1	1	1	1	2	1	1	1
Siegel	2022-06-06	9	0	Sotomayor	1	1	1	1	1	1	1	1	1
Egbert	2022-06-08	6	3	Thomas				1	1	1	1	1	1
Kemp	2022-06-13	8	1	Thomas	1	1	1	1	1	1		1	1
Gonzalez	2022-06-13	6	3	Alito				1	1	1	1	1	1
Arteaga-Martinez	2022-06-13	8	1	Sotomayor	1	1		1	1	1	1	1	1
Denezpi	2022-06-13	6	3	Barrett			1	1	1	1		1	1
ZF Automotive	2022-06-13	9	0	Barrett	1	1	1	1	1	1	1	1	1
Viking River Cruises	2022-06-15	8	1	Alito	1	1	1	1	1	1	1	1	
Golan	2022-06-15	9	0	Sotomayor	1	1	1	1	1	1	1	1	1
Ysleta del Sur Pueblo	2022-06-15	5	4	Gorsuch	1	1	1			1	1		
American Hospital	2022-06-15	9	0	Kavanaugh	1	1	1	1	1	1	1	1	1
George	2022-06-15	6	3	Barrett		1		1	1	1		1	1
Arizona v. San Francisco	2022-06-15	9	0	Per Curiam	1	1	1	1	1	1	1	1	1
Carson	2022-06-21	6	3	Roberts				1	1	1	1	1	1
Twyford	2022-06-21	5	4	Roberts				1	1	1		1	1
U.S. v. Washington	2022-06-21	9	0	Breyer	1	1	1	1	1	1	1	1	1
Taylor	2022-06-21	7	2	Gorsuch	1	1	1	1	1	1	1		
Marietta Memorial	2022-06-21	7	2	Kavanaugh			1	1	1	1	1	1	1
New York State Rifle	2022-06-23	6	3	Thomas				1	1	1	1	1	1
Vega	2022-06-23	6	3	Alito				1	1	1	1	1	1
Nance	2022-06-23	5	4	Kagan	1	1	1	1	1				
North Carolina NAACP	2022-06-23	8	1	Gorsuch		1	1	1	1	1	1	1	1
Dobbs	2022-06-24	6	3	Alito				1	1	1	1	1	1
Empire Health	2022-06-24	5	4	Kagan	1	1	1			1			1
Ruan	2022-06-27	9	0	Breyer	1	1	1	1	1	1	1	1	1
Concepcion	2022-06-27	5	4	Sotomayor	1	1	1				1		1
Kennedy	2022-06-27	6	3	Gorsuch				1	1	1	1	1	1
Torres	2022-06-29	5	4	Breyer	1	1	1	1	1				
Castro-Huerta	2022-06-29	5	4	Kavanaugh				1	1	1		1	1
West Virginia v. EPA	2022-06-30	6	3	Roberts				1	1	1	1	1	1
Biden v. Texas	2022-06-30	5	4	Roberts	1	1	1	1	1				
